legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode, travelDuration ,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
f17866da0fcef2eda25a9673a92b1971,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT7H54M ,0,FALSE,FALSE,FALSE,278.14,322.6,4,1392,1651141800||1651162560,2022-04-28T06:30:00.000-04:00||2022-04-28T11:16:00.000-05:00,1651151100||1651170240,2022-04-28T08:05:00.000-05:00||2022-04-28T14:24:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A319||Boeing 737-900,9300||7680,720||672,coach||coach
12a14575c3789377faab87b93423cc0c,4/17/2022,4/28/2022,LGA,PHL,G7AHZNN3, PT8H11M ,0,FALSE,FALSE,FALSE,278.14,322.6,4,1392,1651174200||1651196100,2022-04-28T15:30:00.000-04:00||2022-04-28T20:35:00.000-05:00,1651183980||1651203660,2022-04-28T17:13:00.000-05:00||2022-04-28T23:41:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,9780||7560,720||672,coach||coach
924d1f95d04a9f346b6703d812716d4a,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT8H41M ,0,FALSE,FALSE,FALSE,278.14,322.6,4,1392,1651165200||1651188660,2022-04-28T13:00:00.000-04:00||2022-04-28T18:31:00.000-05:00,1651175040||1651196460,2022-04-28T14:44:00.000-05:00||2022-04-28T21:41:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A319||Airbus A320,9840||7800,720||672,coach||coach
376ce5064ba55a490d03438f408fdc6a,4/17/2022,4/28/2022,LGA,PHL,G7AHZNN3, PT9H11M ,0,FALSE,FALSE,FALSE,278.14,328.2,4,1392,1651170600||1651196100,2022-04-28T14:30:00.000-04:00||2022-04-28T20:35:00.000-05:00,1651180440||1651203660,2022-04-28T16:14:00.000-05:00||2022-04-28T23:41:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,9840||7560,720||672,coach||coach
daae3ae99759fc2d409b33db34169209,4/17/2022,4/28/2022,LGA,PHL,G7AHZNN3, PT10H11M ,0,FALSE,FALSE,FALSE,278.14,328.2,1,1392,1651167000||1651196100,2022-04-28T13:30:00.000-04:00||2022-04-28T20:35:00.000-05:00,1651176420||1651203660,2022-04-28T15:07:00.000-05:00||2022-04-28T23:41:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,9420||7560,720||672,coach||coach
3b370a7e19685914d959bbf8df33dc39,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT10H41M ,0,FALSE,FALSE,FALSE,278.14,328.2,4,1392,1651158000||1651188660,2022-04-28T11:00:00.000-04:00||2022-04-28T18:31:00.000-05:00,1651168800||1651196460,2022-04-28T13:00:00.000-05:00||2022-04-28T21:41:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Embraer 170||Airbus A320,10800||7800,720||672,coach||coach
de13d3340ec661fa1fb2451083deef25,4/17/2022,4/28/2022,LGA,PHL,G7AHZNN3, PT11H11M ,0,FALSE,FALSE,FALSE,278.14,328.2,7,1392,1651163400||1651196100,2022-04-28T12:30:00.000-04:00||2022-04-28T20:35:00.000-05:00,1651173060||1651203660,2022-04-28T14:11:00.000-05:00||2022-04-28T23:41:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,9660||7560,720||672,coach||coach
8668eed3b665ad3f8d5e03f21e97bce4,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT11H19M ,1,FALSE,FALSE,FALSE,278.14,328.2,4,1392,1651165200||1651198200,2022-04-28T13:00:00.000-04:00||2022-04-28T21:10:00.000-05:00,1651175040||1651205940,2022-04-28T14:44:00.000-05:00||2022-04-29T00:19:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A319||Airbus A319,9840||7740,720||672,coach||coach
ec7a0c159d24e5c9cd7707fb4f6be330,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT11H41M ,0,FALSE,FALSE,FALSE,278.14,328.2,5,1392,1651154400||1651188660,2022-04-28T10:00:00.000-04:00||2022-04-28T18:31:00.000-05:00,1651164240||1651196460,2022-04-28T11:44:00.000-05:00||2022-04-28T21:41:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A320||Airbus A320,9840||7800,720||672,coach||coach
b97f4a7adfe59cb7211617f862059193,4/17/2022,4/28/2022,LGA,PHL,G7AHZNN3, PT12H11M ,0,FALSE,FALSE,FALSE,278.14,328.2,7,1392,1651159800||1651196100,2022-04-28T11:30:00.000-04:00||2022-04-28T20:35:00.000-05:00,1651169820||1651203660,2022-04-28T13:17:00.000-05:00||2022-04-28T23:41:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,10020||7560,720||672,coach||coach
078927135d07ad6902b5b45a75b0b971,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT12H42M ,0,FALSE,FALSE,FALSE,278.14,328.2,9,1392,1651150740||1651188660,2022-04-28T08:59:00.000-04:00||2022-04-28T18:31:00.000-05:00,1651160580||1651196460,2022-04-28T10:43:00.000-05:00||2022-04-28T21:41:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A320||Airbus A320,9840||7800,720||672,coach||coach
290fb36afe1a7292a103f494d586b9cf,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT7H7M ,0,FALSE,FALSE,FALSE,295.81,341.6,4,1392,1651158000||1651176120,2022-04-28T11:00:00.000-04:00||2022-04-28T15:02:00.000-05:00,1651168800||1651183620,2022-04-28T13:00:00.000-05:00||2022-04-28T18:07:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Embraer 170||Airbus A320,10800||7500,720||672,coach||coach
7532bc457f4a60cb95766dabebf6a4d7,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT8H7M ,0,FALSE,FALSE,FALSE,295.81,341.6,5,1392,1651154400||1651176120,2022-04-28T10:00:00.000-04:00||2022-04-28T15:02:00.000-05:00,1651164240||1651183620,2022-04-28T11:44:00.000-05:00||2022-04-28T18:07:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A320||Airbus A320,9840||7500,720||672,coach||coach
13f17e8f576f77ed415b07f34a4747b1,4/17/2022,4/28/2022,LGA,PHL,SAA7PFEN, PT9H8M ,0,FALSE,FALSE,FALSE,295.81,347.2,7,1392,1651150740||1651176120,2022-04-28T08:59:00.000-04:00||2022-04-28T15:02:00.000-05:00,1651160580||1651183620,2022-04-28T10:43:00.000-05:00||2022-04-28T18:07:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A320||Airbus A320,9840||7500,720||672,coach||coach
02ad66ceb7c07ed46ab103eeee33f452,4/17/2022,4/28/2022,LGA,PHL,WAA0AHEN, PT6H20M ,1,FALSE,FALSE,FALSE,335.81,384.6,5,1392,1651183140||1651198200,2022-04-28T17:59:00.000-04:00||2022-04-28T21:10:00.000-05:00,1651192980||1651205940,2022-04-28T19:43:00.000-05:00||2022-04-29T00:19:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A319||Airbus A319,9840||7740,720||672,coach||coach
be5fbf542f17924686932d46fd287135,4/17/2022,4/28/2022,LGA,PHL,WAA0AHEN, PT7H26M ,1,FALSE,FALSE,FALSE,335.81,384.6,1,1392,1651179180||1651198200,2022-04-28T16:53:00.000-04:00||2022-04-28T21:10:00.000-05:00,1651188960||1651205940,2022-04-28T18:36:00.000-05:00||2022-04-29T00:19:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Airbus A319||Airbus A319,9780||7740,720||672,coach||coach
6ed0bf620d5b7fee738d2e212d157abf,4/17/2022,4/28/2022,LGA,PHL,VAA0OHEN, PT6H41M ,0,FALSE,FALSE,FALSE,356.28,406.6,2,1392,1651172400||1651188660,2022-04-28T15:00:00.000-04:00||2022-04-28T18:31:00.000-05:00,1651182660||1651196460,2022-04-28T16:51:00.000-05:00||2022-04-28T21:41:00.000-04:00,ORD||PHL,LGA||ORD,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Airbus A320,10260||7800,720||672,coach||coach
70ce43cacd072bd99945ddb05f24b730,4/17/2022,4/28/2022,LGA,PHL,V0AJZNN1, PT9H54M ,1,FALSE,FALSE,FALSE,376.75,434.21,7,773,1651195740||1651226400,2022-04-28T21:29:00.000-04:00||2022-04-29T06:00:00.000-04:00,1651202160||1651231380,2022-04-28T23:16:00.000-04:00||2022-04-29T07:23:00.000-04:00,RDU||PHL,LGA||RDU,American Airlines||American Airlines,AA||AA,Embraer 175||Airbus A319,6420||4980,434||339,coach||coach
55ed7f46828aeb6c50fe97586c1da52d,4/17/2022,4/28/2022,LGA,PHL,KA0NX0MQ, PT6H22M ,0,FALSE,FALSE,FALSE,385.11,437.59,9,1429,1651167900||1651183620,2022-04-28T13:45:00.000-04:00||2022-04-28T18:07:00.000-04:00,1651176780||1651190820,2022-04-28T16:13:00.000-04:00||2022-04-28T20:07:00.000-04:00,ATL||PHL,LGA||ATL,Delta||Delta,DL||DL,Airbus A320||Boeing 737-900,8880||7200,762||667,coach||coach
7d00f70594eac591607b39b18b8b87ff,4/17/2022,4/28/2022,LGA,PHL,KA3QA0MQ, PT5H22M ,0,FALSE,FALSE,FALSE,388.83,441.59,9,1429,1651171500||1651183620,2022-04-28T14:45:00.000-04:00||2022-04-28T18:07:00.000-04:00,1651180500||1651190820,2022-04-28T17:15:00.000-04:00||2022-04-28T20:07:00.000-04:00,ATL||PHL,LGA||ATL,Delta||Delta,DL||DL,Airbus A320||Boeing 737-900,9000||7200,762||667,coach||coach
1cce4854934aa6f829057d7838084994,4/17/2022,4/28/2022,LGA,PHL,V7AZZNN1, PT9H35M ,1,FALSE,FALSE,FALSE,398.14,457.2,7,348,1651197600||1651228200,2022-04-28T22:00:00.000-04:00||2022-04-29T06:30:00.000-04:00,1651202280||1651232100,2022-04-28T23:18:00.000-04:00||2022-04-29T07:35:00.000-04:00,DCA||PHL,LGA||DCA,American Airlines||American Airlines,AA||AA,Airbus A319||Embraer 175,4680||3900,221||127,coach||coach
